airport,iata,region,fee_gbp,free_minutes,window_note,overstay,free_alternative,alt_detail,verified,verification,source
London Heathrow,LHR,London,7.0,0,"Per entry to terminal forecourt; no free period, no waiting","N/A (charge is per entry); £80 Parking Charge for non-payment, reduced to £40 within 14 days",Park & Ride car parks (former Long Stay),Free drop-off with free bus transfer to terminal,2026-08-25,official,https://www.heathrow.com/transport-and-directions/terminal-drop-off-charge
London Gatwick,LGW,London,10.0,10,£10 for up to 10 minutes,"£1 per additional minute up to 20 minutes; 30-minute maximum stay, £30 maximum daily charge",Long Stay car parks,"2 hours free, shuttle to terminal",2026-08-25,official,https://www.gatwickairport.com
London Stansted,STN,London,10.0,15,Express Set Down: £10 for up to 15 minutes,£28 for over 15 minutes; 30-minute maximum stay,Mid Stay car park,First 60 minutes free — pick-up or drop-off — with a free shuttle taking about 7 minutes,2026-08-25,official,https://www.stanstedairport.com
London Luton,LTN,London,7.0,10,£7 for up to 10 minutes,£1 per minute beyond 10 minutes,Long Stay car park,"2 hours free, bus to terminal",2026-08-25,official,https://www.london-luton.co.uk
London City,LCY,London,8.0,5,£8 for up to 5 minutes — highest per-minute rate in the UK (£1.60/min),£1 per minute beyond 5 minutes; maximum stay 10 minutes,None,No free drop-off; DLR is the practical alternative,2026-08-25,official,https://www.londoncityairport.com
Manchester,MAN,North West,5.5,5,£5.50 for up to 5 minutes,£6.50 for up to 10 minutes; £25 for up to 30 minutes,JetParks 1 free drop-off area,"Free drop-off at JetParks 1 (M90 5AZ) — one-way shuttle to the terminals, about 6 minutes, running 24/7 with marshals on hand",2026-08-25,official,https://www.manchesterairport.co.uk
Birmingham,BHX,Midlands,7.0,15,Premium Set Down outside the terminal from £7; free off-site Drop Off car park (10-minute limit),Escalating charges,Standard Drop Off car park,"10 minutes free, short walk to terminal",2026-08-25,official,https://www.birminghamairport.co.uk
Edinburgh,EDI,Scotland,8.5,10,£8.50 for up to 10 minutes,£1 per minute beyond 10 minutes,Long Stay free zone,"30 minutes free in the Long Stay car park — no shuttle bus, a signposted 10-minute walk to the terminal",2026-08-25,official,https://www.edinburghairport.com
Bristol,BRS,South West,8.5,10,£8.50 for up to 10 minutes at the Drop & Go car park directly next to the terminal,£10.50 for 10–20 minutes; £13 for 20–40 minutes,Waiting Zone,"60 minutes free, bus to terminal",2026-08-25,official,https://www.bristolairport.co.uk
Glasgow,GLA,Scotland,7.0,15,£7 for up to 15 minutes,£1 per additional minute; £50 beyond 30 minutes,Long Stay car park,"1 hour free, walk or shuttle to terminal",2026-08-25,official,https://www.glasgowairport.com
Aberdeen,ABZ,Scotland,7.0,15,£7 for up to 15 minutes,£1 per minute beyond 15 minutes; £50 flat charge after 30 minutes,Long Stay car park,"1 hour free, shuttle to terminal",2026-08-25,official,https://www.aberdeenairport.com
Leeds Bradford,LBA,Yorkshire,8.0,10,"£8 for up to 10 minutes in the Pick Up & Drop Off car park, 1-minute walk from the terminal",Escalating charges,One Hour Free Zone,"Up to 1 hour free, a 3–4-minute uphill walk to the terminal via the Mid Stay walkway — £68 minimum charge if you re-enter within an hour",2026-08-25,official,https://www.leedsbradfordairport.co.uk
Newcastle,NCL,North East,6.0,10,£6 for up to 10 minutes in the Express Car Park at the terminal,£12 for up to 30 minutes,Callerton Parkway,"90 minutes free, shuttle/Metro to terminal",2026-08-25,official,https://www.newcastleairport.com
Liverpool John Lennon,LPL,North West,7.0,10,£7 for up to 10 minutes at the Express Drop-off and Pick-up area next to the terminal (gate rate),£10 up to 20 minutes; £25 up to 1 hour; £50 up to 24 hours,Drop-Off 2,"20 minutes free at Drop-off 2, about a 7-minute walk from the terminal",2026-09-05,official,https://www.liverpoolairport.com
East Midlands,EMA,Midlands,5.0,15,Rapid Drop Off: £5 for up to 15 minutes,£1 per minute beyond 15 minutes; 30-minute maximum stay,Long Stay 2,"60 minutes free, walk or shuttle",2026-08-25,official,https://www.eastmidlandsairport.com
Belfast International,BFS,Northern Ireland,5.0,10,£5 for up to 10 minutes,£8 for 10–20 minutes; £13 for 20–60 minutes,Long Stay car park,"15 minutes free for dropping off and collecting, behind the Maldron Hotel",2026-08-25,official,https://www.belfastairport.com
Belfast City,BHD,Northern Ireland,4.0,10,£4 for up to 10 minutes,£6 for 10–20 minutes,Long Stay car park,"10 minutes free (take a ticket), then £7 up to an hour — a short walk to the terminal",2026-08-25,official,https://www.belfastcityairport.com
Cardiff Wales,CWL,Wales,4.5,10,£4.50 for up to 10 minutes (revised 1 July 2026),£4.50 for each additional 10 minutes,Car Park 2,"20 minutes free, walkable",2026-08-25,official,https://www.cardiff-airport.com
Bournemouth,BOH,South,8.0,30,£8 for up to 30 minutes — longest paid window,£15 for 30–60 minutes,None,No free option prominently published,2026-08-25,official,https://www.bournemouthairport.com
Southampton,SOU,South,7.0,20,"£7 for up to 20 minutes in the Pick Up & Drop Off area, ground floor of the short-stay multi-storey, 1-minute walk from terminal",Escalating charges,None,No free drop-off currently offered,2026-08-25,official,https://www.southamptonairport.com
Glasgow Prestwick,PIK,Scotland,4.5,60,"£4.50 for up to 60 minutes in Car Park 1, directly outside the terminal (Sat Nav: KA9 2PL) — the most generous paid window in the UK",Standard parking rates apply beyond 60 minutes,None,Long window makes an alternative largely unnecessary,2026-08-25,official,https://www.glasgowprestwick.com
London Southend,SEN,London,8.0,10,£8 for up to 10 minutes in the Express Pick-up and Drop-off area,Maximum stay 10 minutes — overstays bring a Parking Charge Notice,None,Southend withdrew its free drop-off option — the £8 Express area is the only set-down,2026-08-25,official,https://southendairport.com
